"mentionned_species","canonical_name","gbif_id","status","match_type","accepted_species","accepted_gbif_id","order","family"
"canis_lupus","Canis lupus",5219173,"ACCEPTED","EXACT","Canis lupus",5219173,"Carnivora","Canidae"
"canis_lupus_dingo","Canis lupus dingo",6164184,"ACCEPTED","EXACT","Canis lupus",5219173,"Carnivora","Canidae"
"canis_lupus_familiaris","Canis lupus familiaris",6164210,"ACCEPTED","EXACT","Canis lupus",5219173,"Carnivora","Canidae"
"canis_mesomelas","Canis mesomelas",5219216,"ACCEPTED","EXACT","Canis mesomelas",5219216,"Carnivora","Canidae"
"canis_rufus","Canis rufus",5219186,"SYNONYM","EXACT","Canis lupus",5219173,"Carnivora","Canidae"
"canis_simensis","Canis simensis",5219143,"ACCEPTED","EXACT","Canis simensis",5219143,"Carnivora","Canidae"
"cannomys_badius","Cannomys badius",2438494,"ACCEPTED","EXACT","Cannomys badius",2438494,"Rodentia","Spalacidae"
"caperea_marginata","Caperea marginata",2440310,"ACCEPTED","EXACT","Caperea marginata",2440310,"Cetacea","Neobalaenidae"
"capra_caucasica","Capra caucasica",2441051,"ACCEPTED","EXACT","Capra caucasica",2441051,"Artiodactyla","Bovidae"
"capra_caucasica_cylindricornis","Capra caucasica cylindricornis",4262708,"ACCEPTED","EXACT","Capra caucasica",2441051,"Artiodactyla","Bovidae"
"capra_falconeri","Capra falconeri",2441050,"ACCEPTED","EXACT","Capra falconeri",2441050,"Artiodactyla","Bovidae"
"capra_hircus","Capra hircus",2441056,"ACCEPTED","EXACT","Capra hircus",2441056,"Artiodactyla","Bovidae"
"capra_ibex","Capra ibex",2441055,"ACCEPTED","EXACT","Capra ibex",2441055,"Artiodactyla","Bovidae"
"capra_nubiana","Capra nubiana",2441049,"ACCEPTED","EXACT","Capra nubiana",2441049,"Artiodactyla","Bovidae"
"capra_pyrenaica","Capra pyrenaica",2441054,"ACCEPTED","EXACT","Capra pyrenaica",2441054,"Artiodactyla","Bovidae"
"capra_sibirica","Capra sibirica",2441052,"ACCEPTED","EXACT","Capra sibirica",2441052,"Artiodactyla","Bovidae"
"capra_walie","Capra walie",2441048,"ACCEPTED","EXACT","Capra walie",2441048,"Artiodactyla","Bovidae"
"capreolus_capreolus","Capreolus capreolus",5220126,"ACCEPTED","EXACT","Capreolus capreolus",5220126,"Artiodactyla","Cervidae"
"capreolus_pygargus","Capreolus pygargus",5220127,"ACCEPTED","EXACT","Capreolus pygargus",5220127,"Artiodactyla","Cervidae"
"capricornis_crispus","Capricornis crispus",4262615,"ACCEPTED","EXACT","Capricornis crispus",4262615,"Artiodactyla","Bovidae"
"capricornis_rubidus","Capricornis rubidus",4262619,"ACCEPTED","EXACT","Capricornis rubidus",4262619,"Artiodactyla","Bovidae"
"capricornis_sumatraensis","Capricornis sumatraensis",4262616,"ACCEPTED","EXACT","Capricornis sumatraensis",4262616,"Artiodactyla","Bovidae"
"caprimulgus_carolinensis","Caprimulgus carolinensis",2496909,"ACCEPTED","EXACT","Caprimulgus carolinensis",2496909,"Caprimulgiformes","Caprimulgidae"
"caprimulgus_europaeus","Caprimulgus europaeus",8109681,"ACCEPTED","EXACT","Caprimulgus europaeus",8109681,"Caprimulgiformes","Caprimulgidae"
"caprimulgus_vociferus","Caprimulgus vociferus",2496870,"ACCEPTED","EXACT","Caprimulgus vociferus",2496870,"Caprimulgiformes","Caprimulgidae"
"caprolagus_hispidus","Caprolagus hispidus",2436938,"ACCEPTED","EXACT","Caprolagus hispidus",2436938,"Lagomorpha","Leporidae"
"capromys_pilorides","Capromys pilorides",2437653,"ACCEPTED","EXACT","Capromys pilorides",2437653,"Rodentia","Capromyidae"
"caracal_caracal","Caracal caracal",2435010,"ACCEPTED","EXACT","Caracal caracal",2435010,"Carnivora","Felidae"
"caracara_cheriway","Caracara cheriway",2480985,"ACCEPTED","EXACT","Caracara cheriway",2480985,"Falconiformes","Falconidae"
