"species","carnivore","carnivore_::_piscivore","carnivore_::_sanguivore","carnivore_::_insectivore","carnivore_::_molluscivore","carnivore_::_eats_other_marine_invertebrates","herbivore","herbivore_::_frugivore","herbivore_::_lignivore","herbivore_::_algivore","omnivore","planktivore","mycophage","detritivore","coprophage","birds","mammals","amphibians","reptiles","fish","eggs","blood","body_fluids","carrion","insects","terrestrial_non-insect_arthropods","mollusks","terrestrial_worms","aquatic_or_marine_worms","aquatic_crustaceans","echinoderms","cnidarians","other_marine_invertebrates","zooplankton","leaves","roots_and_tubers","wood,_bark,_or_stems","seeds,_grains,_and_nuts","fruit","nectar","pollen","flowers","sap_or_other_plant_fluids","bryophytes","lichens","algae","macroalgae","phytoplankton","fungus","detritus","dung","microbes","iucn_red_list","endothermic","ectothermic","heterothermic","homoiothermic","mass_-_average_-_kg","mass_-_adult_-_average_-_kg","mass_-_adult_-_female_-_average_-_kg","mass_-_adult_-_male_-_average_-_kg","mass_-_embryo_-_average_-_kg","mass_-_weanling_-_average_-_kg","mass_-_female_-_average_-_kg","mass_-_male_-_average_-_kg"
"Olallamys edax","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Oligocottus snyderi","YES","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","YES","YES","","","YES","","","","","","","",NA,"","","","","",NA,"",NA,"","","","Not Evaluated","","YES","","",0.008,NA,NA,NA,NA,NA,NA,NA
"Oligoryzomys andinus","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Oligoryzomys arenalis","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Oligoryzomys chacoensis","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Oligoryzomys delticola","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Oligoryzomys destructor","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Oligoryzomys eliurus","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Oligoryzomys flavescens","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Oligoryzomys fulvescens","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Oligoryzomys griseolus","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Oligoryzomys longicaudatus","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Oligoryzomys magellanicus","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Oligoryzomys microtis","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Oligoryzomys nigripes","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Ommatophoca rossii","YES","","","","YES","","","","","","","",NA,"","","","","","","YES","","","","","","","YES","","","YES","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","Least Concern","YES","","","YES",182.5,NA,NA,NA,NA,NA,NA,NA
"Onchocerca volvulus","YES","","","","","","","","","","","",NA,"","","","","","","","","YES","YES","","","","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","No special status","","YES","YES","",NA,NA,NA,NA,NA,NA,NA,NA
"Oncorhynchus aguabonita","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","Not Evaluated","","","","",2.51,NA,NA,NA,NA,NA,NA,NA
"Oncorhynchus clarkii","YES","YES","","YES","","","","","","","","",NA,"","","","","YES","","YES","YES","","","","YES","YES","YES","YES","YES","","","","","","","","","","","",NA,"","","","","YES",NA,"",NA,"","","","Data Deficient","","YES","YES","",3,NA,NA,NA,NA,NA,NA,NA
"Oncorhynchus gilae","YES","","","YES","","","","","","","","",NA,"","","","","","","YES","","","","","YES","","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","Endangered","","YES","YES","",0.099,NA,NA,NA,NA,NA,NA,NA
"Oncorhynchus kisutch","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","Not Evaluated","","YES","YES","",4.5,NA,NA,NA,NA,NA,NA,NA
"Oncorhynchus mykiss","YES","","","YES","","","","","","","","",NA,"","","","","","","YES","","","","","YES","","","","YES","YES","","","","","","","","","","",NA,"","","","","YES",NA,"",NA,"","","","No special status","","YES","YES","",4,NA,NA,NA,NA,NA,NA,NA
"Oncorhynchus nerka","","","","","","","","","","","","YES",NA,"","","","","","","","","","","","YES","","YES","","","","","","","YES","","","","","","",NA,"","","","","",NA,"",NA,"","","","Least Concern","","YES","","",2.5,NA,NA,NA,NA,NA,NA,NA
"Oncorhynchus tshawytscha","YES","YES","","YES","YES","","","","","","","YES",NA,"","","","","","","YES","","","","","YES","","YES","","","YES","","","","YES","","","","","","",NA,"","","","","",NA,"",NA,"","","","No special status","","YES","YES","",13.6,NA,NA,NA,NA,NA,NA,NA
"Ondatra zibethicus","","","","","","","YES","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","Least Concern","YES","","","",1.1358,NA,NA,NA,NA,NA,NA,NA
"Onthophagus australis","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","Not Evaluated","","YES","","",NA,NA,NA,NA,NA,NA,NA,NA
"Onychogalea fraenata","","","","","","","YES","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","YES","","","","","",NA,"","","","","",NA,"",NA,"","","","Endangered","YES","","","",6,NA,NA,NA,NA,NA,NA,NA
"Onychogalea lunata","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Onychogalea unguifera","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Onychomys arenicola","YES","","","YES","","","","","","","","",NA,"","","YES","YES","","YES","","","","","","YES","YES","","","","","","","","","","","","YES","","",NA,"","","","","",NA,"",NA,"","","","Least Concern","YES","","","YES",0.0258,NA,NA,NA,NA,NA,NA,NA
"Onychomys leucogaster","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","Least Concern","YES","","","",0.0325,NA,NA,NA,NA,NA,NA,NA
"Onychomys torridus","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","Least Concern","YES","","","",0.022,NA,NA,NA,NA,NA,NA,NA
"Oophaga histrionica","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","Least Concern","","YES","YES","",NA,NA,NA,NA,NA,NA,NA,NA
"Oophaga lehmanni","YES","","","YES","","","","","","","","",NA,"","","","","YES","","","YES","","","","YES","","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","Critically Endangered","","YES","YES","",NA,NA,NA,NA,NA,NA,NA,NA
"Oophaga pumilio","YES","","","YES","","","","","","","","",NA,"","","","","","","","YES","","","","YES","YES","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","Least Concern","","YES","YES","",NA,NA,NA,NA,NA,NA,NA,NA
"Opheodrys aestivus","YES","","","YES","","","","","","","","",NA,"","","","","","","","","","","","YES","YES","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","Least Concern","","","YES","",NA,NA,NA,NA,NA,NA,NA,NA
"Opheodrys vernalis","YES","","","YES","","","","","","","","",NA,"","","","","YES","","","","","","","YES","YES","YES","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","Least Concern","","","YES","",NA,NA,NA,NA,NA,NA,NA,NA
"Ophiactis savignyi","YES","","","","YES","YES","YES","","","YES","","",NA,"YES","","","","","","","","","","","","","YES","","","YES","","","YES","YES","","","","","","",NA,"","","YES","","",NA,"YES",NA,"YES","","","Not Evaluated","","YES","YES","",NA,NA,NA,NA,NA,NA,NA,NA
"Ophiocoma echinata","YES","YES","","","","","","","","","YES","YES",NA,"YES","","","","","","YES","YES","","","","","","","","","","","","","","","","","","","",NA,"","","","","YES",NA,"",NA,"YES","","","No special status","","YES","YES","",NA,NA,NA,NA,NA,NA,NA,NA
"Ophiodon elongatus","YES","YES","","","YES","","","","","","","YES",NA,"","","","","","","YES","YES","","","","","","YES","","YES","YES","","","YES","YES","","","","","","",NA,"","","","","",NA,"",NA,"","","","Not Evaluated","","YES","YES","",13,NA,NA,NA,NA,NA,NA,NA
"Ophiogomphus howei","YES","","","YES","","","","","","","","",NA,"","","","","","","","","","","","YES","YES","","","YES","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","Least Concern","","YES","YES","",NA,NA,NA,NA,NA,NA,NA,NA
"Ophiogomphus susbehcha","YES","","","YES","","","","","","","","",NA,"","","","","","","","","","","","YES","","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","Least Concern","","YES","YES","",NA,NA,NA,NA,NA,NA,NA,NA
"Ophiophagus hannah","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","Vulnerable","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Ophiopholis aculeata","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","Not Evaluated","","YES","","",NA,NA,NA,NA,NA,NA,NA,NA
"Ophiothrix fragilis","YES","","","","","","","","","","","YES",NA,"YES","","","","","","","","","","YES","","","","","","","","","","","","","","","","",NA,"","","","","",NA,"YES",NA,"YES","","","Not Evaluated","","YES","YES","",NA,NA,NA,NA,NA,NA,NA,NA
"Ophisaurus attenuatus","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","Least Concern","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Opisthocomus hoazin","","","","","","","YES","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","YES","","","","YES","",NA,"YES","","","","",NA,"",NA,"","","","Least Concern","YES","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Oporornis agilis","YES","","","YES","","","YES","YES","","","YES","",NA,"","","","","","","","","","","","YES","YES","YES","","","","","","","","YES","","","YES","YES","",NA,"","","","","",NA,"",NA,"","","","Least Concern","YES","","","",0.015,NA,NA,NA,NA,NA,NA,NA
"Oporornis tolmiei","YES","","","YES","","","","","","","","",NA,"","","","","","","","","","","","YES","","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","Least Concern","YES","","","YES",0.0104,NA,NA,NA,NA,NA,NA,NA
"Orcaella brevirostris","YES","YES","","","YES","","","","","","","",NA,"","","","","","","YES","YES","","","","","","YES","","","YES","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","Critically Endangered","YES","","","YES",124,NA,NA,NA,NA,NA,NA,NA
"Orcaella heinsohni","YES","YES","","","YES","","","","","","","",NA,"","","","","","","YES","","","","","","","YES","","","YES","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","Near Threatened","YES","","","YES",123.5,NA,NA,NA,NA,NA,NA,NA
"Orchelimum vulgare","YES","","","","","","YES","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","No special status","","YES","","",NA,NA,NA,NA,NA,NA,NA,NA
"Orcinus orca","YES","YES","","","YES","","","","","","","",NA,"","","YES","YES","","YES","YES","","","","","","","YES","","","YES","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","Data Deficient","YES","","","YES",7200,NA,NA,NA,NA,NA,NA,NA
"Orconectes rusticus","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","Least Concern","","YES","YES","",NA,NA,NA,NA,NA,NA,NA,NA
"Oreamnos americanus","","","","","","","YES","","YES","","","",NA,"","","","","","","","","","","","","","","","","","","","","","YES","","YES","","","",NA,"","","YES","YES","",NA,"",NA,"","","","No special status","YES","","","YES",69.3,NA,NA,NA,NA,NA,NA,NA
"Oreaster reticulatus","YES","","","","YES","YES","YES","","","YES","YES","",NA,"","","","","","","","","","","","","","","","YES","YES","YES","YES","YES","YES","","","","","","",NA,"","","","","",NA,"",NA,"YES","","","Not Evaluated","","YES","YES","",NA,NA,NA,NA,NA,NA,NA,NA
"Orectolobus maculatus","YES","YES","","","","","","","","","","",NA,"","","","","","","YES","","","","","","","YES","","","YES","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","No special status","","YES","YES","",NA,NA,NA,NA,NA,NA,NA,NA
"Oreonax flavicauda","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Oreotragus oreotragus","","","","","","","YES","YES","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","YES","","","","YES","",NA,"YES","","","","",NA,"",NA,"","","","No special status","YES","","","YES",13,NA,NA,NA,NA,NA,NA,NA
"Ornithorhynchus anatinus","YES","","","","YES","","","","","","","",NA,"","","","","","","YES","YES","","","","","","YES","","YES","YES","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","No special status","YES","","","YES",1.52,NA,NA,NA,NA,NA,NA,NA
"Oropsylla montana","YES","","YES","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","Not Evaluated","","YES","YES","",NA,NA,NA,NA,NA,NA,NA,NA
"Orthodera novaezealandiae","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","Not Evaluated","","YES","","",NA,NA,NA,NA,NA,NA,NA,NA
"Orthogeomys cavator","","","","","","","YES","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","YES","YES","","","","",NA,"","","","","",NA,"",NA,"","","","Least Concern","YES","","","YES",0.7,NA,NA,NA,NA,NA,NA,NA
"Orthogeomys cuniculus","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Orthogeomys dariensis","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Orthogeomys grandis","","","","","","","YES","YES","YES","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","YES","YES","YES","YES","",NA,"","","","","",NA,"",NA,"","","","Least Concern","YES","","","YES",0.83,NA,NA,NA,NA,NA,NA,NA
"Orthogeomys heterodus","","","","","","","YES","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","YES","YES","","YES","","",NA,"","","","","",NA,"",NA,"","","","Least Concern","YES","","","",0.521,NA,NA,NA,NA,NA,NA,NA
"Orthogeomys hispidus","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Orthogeomys lanius","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
