"accepted_species_gbif","accepted_gbif_id","gbif_id","order","family","genus","status","species_raw","adw_primary_diet","adw_carnivore","adw_carnivore.piscivore","adw_carnivore.sanguivore","adw_carnivore.insectivore","adw_carnivore.molluscivore","adw_carnivore.eats_other_marine_invertebrates","adw_herbivore","adw_herbivore.frugivore","adw_herbivore.lignivore","adw_herbivore.algivore","adw_omnivore","adw_planktivore","adw_mycophage","adw_detritivore","adw_coprophage","adw_animal_foods","adw_birds","adw_mammals","adw_amphibians","adw_reptiles","adw_fish","adw_eggs","adw_blood","adw_body_fluids","adw_carrion","adw_insects","adw_terrestrial_non_insect_arthropods","adw_mollusks","adw_terrestrial_worms","adw_aquatic_or_marine_worms","adw_aquatic_crustaceans","adw_echinoderms","adw_cnidarians","adw_other_marine_invertebrates","adw_zooplankton","adw_plant_foods","adw_leaves","adw_roots_and_tubers","adw_wood_bark_or_stems","adw_seeds_grains_and_nuts","adw_fruit","adw_nectar","adw_pollen","adw_flowers","adw_sap_or_other_plant_fluids","adw_bryophytes","adw_lichens","adw_algae","adw_macroalgae","adw_phytoplankton","adw_other_foods","adw_fungus","adw_detritus","adw_dung","adw_microbes","adw_endothermic","adw_ectothermic","adw_heterothermic","adw_homoiothermic","species","bodymass_kg"
"Clemmys guttata","5961001","5961001","Testudines","Emydidae","Clemmys","ACCEPTED","Clemmys guttata","","","","","","","","","","","","","",NA,"",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,"","YES","","","clemmys_guttata",NA
"Clistosaccus paguri","2116668","2116668","Akentrogonida","Clistosaccidae","Clistosaccus","ACCEPTED","Clistosaccus paguri","Carnivore, Carnivore: Eats body fluids","YES","","","","","","","","","","","",NA,"",NA,"Body fluids","","","","","","","","YES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,"","YES","YES","","clistosaccus_paguri",NA
"Clonorchis sinensis","2505601","2505601","Plagiorchiida","Opisthorchiidae","Clonorchis","ACCEPTED","Clonorchis sinensis","Carnivore, Carnivore: Eats body fluids","YES","","","","","","","","","","","",NA,"",NA,"Body fluids","","","","","","","","YES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,"","YES","YES","","clonorchis_sinensis",NA
"Clupea harengus","8351946","8351946","Clupeiformes","Clupeidae","Clupea","ACCEPTED","Clupea harengus","Planktivore","","","","","","","","","","","","YES",NA,"",NA,"Fish, Eggs, Mollusks, Aquatic or Marine Worms, Aquatic Crustaceans, Other Marine Invertebrates, Zooplankton","","","","","YES","YES","","","","","","YES","","YES","YES","","","YES","YES","Phytoplankton","","","","","","","","","","","","","","YES","","","",NA,NA,"","YES","YES","","clupea_harengus",0.68
"Clypeaster subdepressus","5188180","5188180","Clypeasteroida","Clypeasteridae","Clypeaster","ACCEPTED","Clypeaster subdepressus","","","",NA,"","",NA,"","","","","","",NA,"",NA,"","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","",NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,"","YES","","","clypeaster_subdepressus",NA
"Coccinella novemnotata","4990190","4990190","Coleoptera","Coccinellidae","Coccinella","ACCEPTED","Coccinella novemnotata","Carnivore, Carnivore: Insectivore","YES","",NA,"YES","",NA,"","","","","","",NA,"",NA,"Insects","","","","","","","","","","YES","","","","","","",NA,"","","","","","","","","","","",NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,"","YES","YES","","coccinella_novemnotata",NA
"Coccinella septempunctata","4990191","4990191","Coleoptera","Coccinellidae","Coccinella","ACCEPTED","Coccinella septempunctata","Carnivore, Carnivore: Insectivore","YES","",NA,"YES","",NA,"","","","","","",NA,"",NA,"Insects","","","","","","","","","","YES","","","","","","",NA,"","","Pollen","","","","","","","YES","",NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,"","YES","YES","","coccinella_septempunctata",NA
"Coccinella transversoguttata","4990198","4990198","Coleoptera","Coccinellidae","Coccinella","DOUBTFUL","Coccinella transversoguttata","Carnivore, Carnivore: Insectivore","YES","",NA,"YES","",NA,"","","","","","",NA,"",NA,"Insects","","","","","","","","","","YES","","","","","","",NA,"","","","","","","","","","","",NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,"","YES","YES","","coccinella_transversoguttata",NA
"Coccyzus americanus","2496287","2496287","Cuculiformes","Cuculidae","Coccyzus","ACCEPTED","Coccyzus americanus","Carnivore, Carnivore: Insectivore","YES","",NA,"YES","",NA,"","","","","","",NA,"",NA,"Amphibians, Reptiles, Eggs, Insects, Mollusks","","","YES","YES","","YES","","","","YES","","YES","","","","",NA,"","","Seeds, grains, and nuts, Fruit","","","","YES","YES","","","",NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,"YES","","","","coccyzus_americanus",0.06
"Coccyzus erythropthalmus","2496286","2496286","Cuculiformes","Cuculidae","Coccyzus","ACCEPTED","Coccyzus erythropthalmus","Carnivore, Carnivore: Eats non-insect arthropods, Carnivore: Vermivore, Herbivore, Herbivore: Frugivore, Herbivore: Granivore, Omnivore","YES","",NA,"","",NA,"YES","YES","","","YES","",NA,"",NA,"Fish, Eggs, Insects, Mollusks, Terrestrial Worms","","","","","YES","YES","","","","YES","","YES","YES","","","",NA,"","","Seeds, grains, and nuts, Fruit","","","","YES","YES","","","",NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,"YES","","","YES","coccyzus_erythropthalmus",0.0525
"Coendou prehensilis","2437600","2437600","Rodentia","Erethizontidae","Coendou","ACCEPTED","Coendou prehensilis","Herbivore, Herbivore: Frugivore, Herbivore: Granivore","","",NA,"","",NA,"YES","YES","","","","",NA,"",NA,"","","","","","","","","","","","","","","","","",NA,"","","Leaves, Roots and tubers, Wood, bark, or stems, Seeds, grains, and nuts, Fruit, Flowers","YES","YES","YES","YES","YES","","","YES",NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,"YES","","","YES","coendou_prehensilis",3.5
"Coenobita perlatus","5716744","5716744","Decapoda","Coenobitidae","Coenobita","ACCEPTED","Coenobita perlatus","Carnivore, Carnivore: Scavenger, Detritivore","YES","",NA,"","",NA,"","","","","","",NA,"YES",NA,"Carrion","","","","","","","","","YES","","","","","","","",NA,"","","","","","","","","","","",NA,NA,NA,"",NA,NA,"Detritus",NA,"YES",NA,NA,"","YES","YES","","coenobita_perlatus",0.08
"Coereba flaveola","2493744","2493744","Passeriformes","Coerebidae","Coereba","ACCEPTED","Coereba flaveola","","","",NA,"","",NA,"","","","","","",NA,"",NA,"","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","",NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,"YES","","","","coereba_flaveola",NA
"Colaptes auratus","2478259","2478259","Piciformes","Picidae","Colaptes","ACCEPTED","Colaptes auratus","Omnivore","","",NA,"","",NA,"","","","","YES","",NA,"",NA,"Insects, Terrestrial Non-insect Arthropods","","","","","","","","","","YES","YES","","","","","",NA,"","","Seeds, grains, and nuts, Fruit","","","","YES","YES","","","",NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,"YES","","","","colaptes_auratus",0.17
"Coleonyx brevis","2447240","2447240","Squamata","Eublepharidae","Coleonyx","ACCEPTED","Coleonyx brevis","Carnivore, Carnivore: Insectivore, Carnivore: Eats non-insect arthropods","YES","",NA,"YES","",NA,"","","","","","",NA,"",NA,"Insects, Terrestrial Non-insect Arthropods","","","","","","","","","","YES","YES","","","","","",NA,"","","","","","","","","","","",NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,"","","","","coleonyx_brevis",0.0026
"Colias eurytheme","5137694","5137694","Lepidoptera","Pieridae","Colias","ACCEPTED","Colias eurytheme","Herbivore, Herbivore: Folivore, Herbivore: Nectarivore","","",NA,"","",NA,"YES","","","","","",NA,"",NA,"","","","","","","","","","","","","","","","","",NA,"","","Leaves, Nectar","YES","","","","","YES","","",NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,"","YES","YES","","colias_eurytheme",NA
"Colias philodice","5137672","5137672","Lepidoptera","Pieridae","Colias","ACCEPTED","Colias philodice","Herbivore, Herbivore: Folivore, Herbivore: Nectarivore","","",NA,"","",NA,"YES","","","","","",NA,"",NA,"","","","","","","","","","","","","","","","","",NA,"","","Leaves, Nectar","YES","","","","","YES","","",NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,"","YES","YES","","colias_philodice",NA
"Colinus virginianus","9791464","9791464","Galliformes","Odontophoridae","Colinus","ACCEPTED","Colinus virginianus","Herbivore, Herbivore: Folivore, Herbivore: Granivore","","",NA,"","",NA,"YES","","","","","",NA,"",NA,"Insects, Terrestrial Non-insect Arthropods","","","","","","","","","","YES","YES","","","","","",NA,"","","Leaves, Seeds, grains, and nuts, Fruit, Flowers","YES","","","YES","YES","","","YES",NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,"YES","","","YES","colinus_virginianus",0.155
"Colobus angolensis","5963047","5963047","Primates","Cercopithecidae","Colobus","ACCEPTED","Colobus angolensis","Herbivore, Herbivore: Folivore","","",NA,"","",NA,"YES","","","","","",NA,"",NA,"Insects","","","","","","","","","","YES","","","","","","",NA,"","","Leaves, Wood, bark, or stems, Fruit, Flowers","YES","","YES","","YES","","","YES",NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,"YES","","","YES","colobus_angolensis",8.9
"Colobus guereza","5963045","5963045","Primates","Cercopithecidae","Colobus","ACCEPTED","Colobus guereza","Herbivore, Herbivore: Folivore","","",NA,"","",NA,"YES","","","","","",NA,"",NA,"","","","","","","","","","","","","","","","","",NA,"","","Leaves, Fruit, Flowers","YES","","","","YES","","","YES",NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,"YES","","","YES","colobus_guereza",9.5
"Colobus polykomos","5963044","5963044","Primates","Cercopithecidae","Colobus","ACCEPTED","Colobus polykomos","Herbivore, Herbivore: Folivore","","",NA,"","",NA,"YES","","","","","",NA,"",NA,"","","","","","","","","","","","","","","","","",NA,"","","Leaves, Seeds, grains, and nuts, Fruit, Flowers","YES","","","YES","YES","","","YES",NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,"YES","","","YES","colobus_polykomos",9.5
"Colobus satanas","5963046","5963046","Primates","Cercopithecidae","Colobus","ACCEPTED","Colobus satanas","Herbivore, Herbivore: Granivore","","",NA,"","",NA,"YES","","","","","",NA,"",NA,"","","","","","","","","","","","","","","","","",NA,"","","Leaves, Seeds, grains, and nuts, Fruit","YES","","","YES","YES","","","",NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,"YES","","","YES","colobus_satanas",11
"Colobus vellerosus","6075599","6075599","Primates","Cercopithecidae","Colobus","ACCEPTED","Colobus vellerosus","Herbivore, Herbivore: Folivore, Herbivore: Frugivore, Herbivore: Granivore","","",NA,"","",NA,"YES","YES","","","","",NA,"",NA,"Insects","","","","","","","","","","YES","","","","","","",NA,"","","Leaves, Seeds, grains, and nuts, Fruit","YES","","","YES","YES","","","",NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,"YES","","","YES","colobus_vellerosus",9.3
"Coluber constrictor","6161776","6161776","Squamata","Colubridae","Coluber","ACCEPTED","Coluber constrictor","Carnivore, Carnivore: Eats terrestrial vertebrates, Carnivore: Insectivore","YES","",NA,"YES","",NA,"","","","","","",NA,"",NA,"Birds, Mammals, Amphibians, Reptiles, Eggs, Insects, Terrestrial Non-insect Arthropods","YES","YES","YES","YES","","YES","","","","YES","YES","","","","","",NA,"","","","","","","","","","","",NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,"","","YES","","coluber_constrictor",NA
"Patagioenas fasciata","2495266","5231797","Columbiformes","Columbidae","Patagioenas","SYNONYM","Columba fasciata","","","",NA,"","",NA,"","","","","","",NA,"",NA,"","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","",NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,"YES","","","","columba_fasciata",0.34
"Columba livia","2495414","2495414","Columbiformes","Columbidae","Columba","ACCEPTED","Columba livia","","","",NA,"","",NA,"","","","","","",NA,"",NA,"","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","",NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,"YES","","","","columba_livia",0.3587
"Columbicola columbae","1032069","1032069","Psocodea","Philopteridae","Columbicola","ACCEPTED","Columbicola columbae","","","",NA,"","",NA,"","","","","","",NA,"",NA,"","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","",NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,"","YES","","","columbicola_columbae",NA
"Columbina inca","2495863","2495863","Columbiformes","Columbidae","Columbina","ACCEPTED","Columbina inca","Herbivore, Herbivore: Granivore","","",NA,"","",NA,"YES","","","","","",NA,"",NA,"","","","","","","","","","","","","","","","","",NA,"","","Seeds, grains, and nuts, Fruit","","","","YES","YES","","","",NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,"YES","","","YES","columbina_inca",0.044
"Condylactis gigantea","2256741","2256741","Actiniaria","Actiniidae","Condylactis","ACCEPTED","Condylactis gigantea","","","",NA,"","",NA,"","","","","","",NA,"",NA,"","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","",NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,"","YES","","","condylactis_gigantea",NA
"Condylura cristata","2436248","2436248","Soricomorpha","Talpidae","Condylura","ACCEPTED","Condylura cristata","Carnivore, Carnivore: Vermivore","YES","",NA,"","",NA,"","","","","","",NA,"",NA,"Fish, Insects, Mollusks, Terrestrial Worms, Aquatic or Marine Worms, Aquatic Crustaceans","","","","","YES","","","","","YES","","YES","YES","YES","YES","",NA,"","","","","","","","","","","",NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,"YES","","","","condylura_cristata",0.055
"Conepatus chinga","2434870","2434870","Carnivora","Mephitidae","Conepatus","ACCEPTED","Conepatus chinga","Omnivore","","",NA,"","",NA,"","","","","YES","",NA,"",NA,"Birds, Mammals, Eggs, Insects, Terrestrial Non-insect Arthropods","YES","YES","","","","YES","","","","YES","YES","","","","","",NA,"","","Leaves, Fruit","YES","","","","YES","","","",NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,"YES","","","","conepatus_chinga",3.4
"Conepatus humboldtii","2434890","2434890","Carnivora","Mephitidae","Conepatus","ACCEPTED","Conepatus humboldtii","Carnivore, Carnivore: Insectivore","YES","",NA,"YES","",NA,"","","","","","",NA,"",NA,"Birds, Mammals, Amphibians, Reptiles, Fish, Eggs, Insects, Terrestrial Non-insect Arthropods","YES","YES","YES","YES","YES","YES","","","","YES","YES","","","","","",NA,"","","Seeds, grains, and nuts, Fruit","","","","YES","YES","","","",NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,"YES","","","","conepatus_humboldtii",2.8
"Conepatus leuconotus","2434878","7193902","Carnivora","Mephitidae","Conepatus","ACCEPTED","Conepatus leuconotus leuconotus","Carnivore, Carnivore: Insectivore","YES","",NA,"YES","",NA,"","","","","","",NA,"",NA,"Birds, Mammals, Amphibians, Eggs, Insects, Terrestrial Non-insect Arthropods","YES","YES","YES","","","YES","","","","YES","YES","","","","","",NA,"","","Seeds, grains, and nuts, Fruit","","","","YES","YES","","","",NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,"YES","","","YES","conepatus_leuconotus_leuconotus",3.25
"Conepatus semistriatus","2434883","2434883","Carnivora","Mephitidae","Conepatus","ACCEPTED","Conepatus semistriatus","Omnivore","","",NA,"","",NA,"","","","","YES","",NA,"",NA,"Birds, Mammals, Reptiles, Carrion, Insects, Terrestrial Non-insect Arthropods","YES","YES","","YES","","","","","YES","YES","YES","","","","","",NA,"","","Seeds, grains, and nuts, Fruit","","","","YES","YES","","","",NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,"YES","","","YES","conepatus_semistriatus",1.6
"Connochaetes gnou","2441106","2441106","Artiodactyla","Bovidae","Connochaetes","ACCEPTED","Connochaetes gnou","Herbivore, Herbivore: Folivore","","",NA,"","",NA,"YES","","","","","",NA,"",NA,"","","","","","","","","","","","","","","","","",NA,"","","Leaves, Wood, bark, or stems, Flowers","YES","","YES","","","","","YES",NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,"YES","","","YES","connochaetes_gnou",133.5
"Connochaetes taurinus","2441105","2441105","Artiodactyla","Bovidae","Connochaetes","ACCEPTED","Connochaetes taurinus","Herbivore, Herbivore: Folivore","","",NA,"","",NA,"YES","","","","","",NA,"",NA,"","","","","","","","","","","","","","","","","",NA,"","","Leaves","YES","","","","","","","",NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,"YES","","","YES","connochaetes_taurinus",194
"Conraua goliath","2428946","2428946","Anura","Conrauidae","Conraua","ACCEPTED","Conraua goliath","Carnivore, Carnivore: Insectivore, Carnivore: Eats non-insect arthropods, Carnivore: Molluscivore","YES","",NA,"YES","YES",NA,"","","","","","",NA,"",NA,"Mammals, Amphibians, Insects, Terrestrial Non-insect Arthropods, Mollusks","","YES","YES","","","","","","","YES","YES","YES","","","","",NA,"","","Algae","","","","","","","","",NA,NA,NA,"YES",NA,NA,"",NA,"",NA,NA,"","YES","YES","","conraua_goliath",1.925
"Contopus sordidulus","5229754","5229754","Passeriformes","Tyrannidae","Contopus","ACCEPTED","Contopus sordidulus","Carnivore, Carnivore: Insectivore, Carnivore: Eats non-insect arthropods","YES","",NA,"YES","",NA,"","","","","","",NA,"",NA,"Insects, Terrestrial Non-insect Arthropods","","","","","","","","","","YES","YES","","","","","",NA,"","","","","","","","","","","",NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,"YES","","","YES","contopus_sordidulus",0.013
"Conuropsis carolinensis","2479449","2479449","Psittaciformes","Psittacidae","Conuropsis","ACCEPTED","Conuropsis carolinensis","Herbivore, Herbivore: Frugivore, Herbivore: Granivore","","",NA,"","",NA,"YES","YES","","","","",NA,"",NA,"Insects","","","","","","","","","","YES","","","","","","",NA,"","","Seeds, grains, and nuts, Fruit, Flowers","","","","YES","YES","","","YES",NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,"YES","","","YES","conuropsis_carolinensis",0.28
"Conus geographus","5728277","5728277","Neogastropoda","Conidae","Conus","ACCEPTED","Conus geographus","Carnivore, Carnivore: Piscivore","YES","YES",NA,"","",NA,"","","","","","",NA,"",NA,"Fish","","","","","YES","","","","","","","","","","","",NA,"","","","","","","","","","","",NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,"","YES","YES","","conus_geographus",0.0388
"Conus spurius","9583487","9583487","Neogastropoda","Conidae","Conus","ACCEPTED","Conus spurius","","","",NA,"","",NA,"","","","","","",NA,"",NA,"","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","",NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,"","YES","","","conus_spurius",NA
"Coptotermes formosanus","2007383","2007383","Blattodea","Rhinotermitidae","Coptotermes","ACCEPTED","Coptotermes formosanus","Herbivore, Herbivore: Lignivore","","",NA,"","",NA,"YES","","YES","","","",NA,"",NA,"","","","","","","","","","","","","","","","","",NA,"","","Wood, bark, or stems","","","YES","","","","","",NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,"","YES","YES","","coptotermes_formosanus",NA
"Coracias cyanogaster","2475364","2475364","Coraciiformes","Coraciidae","Coracias","ACCEPTED","Coracias cyanogaster","Carnivore, Carnivore: Insectivore","YES","",NA,"YES","",NA,"","","","","","",NA,"",NA,"Reptiles, Insects, Terrestrial Non-insect Arthropods, Terrestrial Worms","","","","YES","","","","","","YES","YES","","YES","","","",NA,"","","Fruit","","","","","YES","","","",NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,"YES","","","YES","coracias_cyanogaster",0.142
"Coragyps atratus","2481942","2481942","Accipitriformes","Cathartidae","Coragyps","ACCEPTED","Coragyps atratus","","","",NA,"","",NA,"","","","","","",NA,"",NA,"","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","",NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,"YES","","","","coragyps_atratus",2.35
"Corallus caninus","2464991","2464991","Squamata","Boidae","Corallus","ACCEPTED","Corallus caninus","Carnivore, Carnivore: Eats terrestrial vertebrates","YES","",NA,"","",NA,"","","","","","",NA,"",NA,"Birds, Mammals, Reptiles","YES","YES","","YES","","","","","","","","","","","","",NA,"","","","","","","","","","","",NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,"","","YES","","corallus_caninus",NA
"Corallus hortulanus","2464951","2464951","Squamata","Boidae","Corallus","ACCEPTED","Corallus hortulanus","Carnivore, Carnivore: Eats terrestrial vertebrates","YES","",NA,"","",NA,"","","","","","",NA,"",NA,"Birds, Mammals, Amphibians, Reptiles","YES","YES","YES","YES","","","","","","","","","","","","",NA,"","","","","","","","","","","",NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,"","","YES","","corallus_hortulanus",NA
"Corbicula fluminea","8190231","8190231","Venerida","Cyrenidae","Corbicula","ACCEPTED","Corbicula fluminea","","","",NA,"","",NA,"","","","","","",NA,"",NA,"","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","",NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,"","YES","","","corbicula_fluminea",NA
"Ouroborus cataphractus","7536957","5227236","Squamata","Cordylidae","Ouroborus","SYNONYM","Cordylus cataphractus","Carnivore, Carnivore: Insectivore","YES","",NA,"YES","",NA,"","","","","","",NA,"",NA,"Insects, Terrestrial Non-insect Arthropods","","","","","","","","","","YES","YES","","","","","",NA,"","","Leaves, Fruit","YES","","","","YES","","","",NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,"","","YES","","cordylus_cataphractus",NA
"Coregonus artedi","2351092","2351092","Salmoniformes","Salmonidae","Coregonus","ACCEPTED","Coregonus artedi","Carnivore, Carnivore: Piscivore, Carnivore: Eats eggs, Carnivore: Insectivore, Carnivore: Eats non-insect arthropods, Herbivore, Herbivore: Algivore, Planktivore","YES","YES",NA,"YES","",NA,"YES","","","YES","","YES",NA,"",NA,"Eggs, Insects, Mollusks, Echinoderms, Other Marine Invertebrates, Zooplankton","","","","","","YES","","","","YES","","YES","","","","YES",NA,"YES","YES","Algae","","","","","","","","",NA,NA,NA,"YES",NA,NA,"",NA,"",NA,NA,"","YES","","","coregonus_artedi",3.4
"Coregonus clupeaformis","2351119","2351119","Salmoniformes","Salmonidae","Coregonus","ACCEPTED","Coregonus clupeaformis","Carnivore, Carnivore: Insectivore, Carnivore: Eats non-insect arthropods, Carnivore: Molluscivore","YES","",NA,"YES","YES",NA,"","","","","","",NA,"",NA,"Fish, Eggs, Insects, Mollusks, Aquatic Crustaceans","","","","","YES","YES","","","","YES","","YES","","","YES","",NA,"","","","","","","","","","","",NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,"","YES","YES","","coregonus_clupeaformis",1.8
"Coregonus hoyi","2351195","2351195","Salmoniformes","Salmonidae","Coregonus","ACCEPTED","Coregonus hoyi","Carnivore, Carnivore: Eats eggs, Carnivore: Eats non-insect arthropods, Planktivore","YES","",NA,"","",NA,"","","","","","YES",NA,"",NA,"Eggs, Mollusks, Aquatic Crustaceans, Zooplankton","","","","","","YES","","","","","","YES","","","YES","",NA,"","YES","","","","","","","","","",NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,"","YES","","","coregonus_hoyi",0.227
"Coregonus kiyi","2351112","2351112","Salmoniformes","Salmonidae","Coregonus","ACCEPTED","Coregonus kiyi","Carnivore, Carnivore: Eats non-insect arthropods, Planktivore","YES","",NA,"","",NA,"","","","","","YES",NA,"",NA,"Mollusks, Aquatic Crustaceans, Zooplankton","","","","","","","","","","","","YES","","","YES","",NA,"","YES","","","","","","","","","",NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,"YES","","","","coregonus_kiyi",0.1
"Coregonus zenithicus","2350935","2350935","Salmoniformes","Salmonidae","Coregonus","ACCEPTED","Coregonus zenithicus","Carnivore, Carnivore: Eats non-insect arthropods, Omnivore","YES","",NA,"","",NA,"","","","","YES","",NA,"",NA,"Insects, Aquatic Crustaceans, Zooplankton","","","","","","","","","","YES","","","","","YES","",NA,"","YES","","","","","","","","","",NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,"","","","","coregonus_zenithicus",0.3
"Coris aygula","5209766","5209766","Perciformes","Labridae","Coris","ACCEPTED","Coris aygula","Carnivore, Carnivore: Eats non-insect arthropods, Carnivore: Molluscivore","YES","",NA,"","YES",NA,"","","","","","",NA,"",NA,"Mollusks, Aquatic Crustaceans","","","","","","","","","","","","YES","","","YES","",NA,"","","","","","","","","","","",NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,"","","","","coris_aygula",NA
"Corvus brachyrhynchos","2482507","2482507","Passeriformes","Corvidae","Corvus","ACCEPTED","Corvus brachyrhynchos","Omnivore","","",NA,"","",NA,"","","","","YES","",NA,"",NA,"Birds, Mammals, Amphibians, Reptiles, Eggs, Carrion, Insects, Terrestrial Non-insect Arthropods, Mollusks, Terrestrial Worms","YES","YES","YES","YES","","YES","","","YES","YES","YES","YES","YES","","","",NA,"","","Seeds, grains, and nuts, Fruit","","","","YES","YES","","","",NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,"YES","","","YES","corvus_brachyrhynchos",0.45
"Corvus caurinus","2482523","2482523","Passeriformes","Corvidae","Corvus","ACCEPTED","Corvus caurinus","Omnivore","","",NA,"","",NA,"","","","","YES","",NA,"",NA,"Birds, Mammals, Amphibians, Reptiles, Fish, Eggs, Carrion, Insects, Terrestrial Non-insect Arthropods, Mollusks, Aquatic Crustaceans, Echinoderms","YES","YES","YES","YES","YES","YES","","","YES","YES","YES","YES","","","YES","YES",NA,"","","Seeds, grains, and nuts, Fruit","","","","YES","YES","","","",NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,"YES","","","","corvus_caurinus",0.39
"Corvus corax","2482492","2482492","Passeriformes","Corvidae","Corvus","ACCEPTED","Corvus corax","Carnivore, Carnivore: Scavenger","YES","",NA,"","",NA,"","","","","","",NA,"",NA,"Birds, Mammals, Amphibians, Reptiles, Eggs, Carrion, Insects, Terrestrial Non-insect Arthropods","YES","YES","YES","YES","","YES","","","YES","YES","YES","","","","","",NA,"","","Seeds, grains, and nuts, Fruit","","","","YES","YES","","","",NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,"YES","","","YES","corvus_corax",1.157
"Corvus frugilegus","2482513","2482513","Passeriformes","Corvidae","Corvus","ACCEPTED","Corvus frugilegus","Carnivore, Carnivore: Eats terrestrial vertebrates, Carnivore: Eats eggs, Carnivore: Insectivore, Carnivore: Eats non-insect arthropods, Carnivore: Vermivore, Carnivore: Scavenger, Herbivore, Herbivore: Frugivore, Herbivore: Granivore, Omnivore","YES","",NA,"YES","",NA,"YES","YES","","","YES","",NA,"",NA,"Birds, Mammals, Eggs, Carrion, Insects, Terrestrial Worms, Aquatic Crustaceans","YES","YES","","","","YES","","","YES","YES","","","YES","","YES","",NA,"","","Seeds, grains, and nuts, Fruit","","","","YES","YES","","","",NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,"YES","","","YES","corvus_frugilegus",0.434
"Corydalus cornutus","1729944","1729944","Megaloptera","Corydalidae","Corydalus","ACCEPTED","Corydalus cornutus","Carnivore, Carnivore: Insectivore","YES","",NA,"YES","",NA,"","","","","","",NA,"",NA,"Insects, Mollusks, Aquatic or Marine Worms, Aquatic Crustaceans","","","","","","","","","","YES","","YES","","YES","YES","",NA,"","","Nectar","","","","","","YES","","",NA,NA,NA,"",NA,NA,"",NA,"",NA,NA,"","YES","","","corydalus_cornutus",NA
