Family,Genus,CommonName,Species,Species (ITIS),TrophicGuild,Refs,Fruit,Leaves,Flowers,Seeds,Animal,Gums,Nectar,Other,Region,Country,Data_type,Study_duration_months,N_groups,Mean_individuals,Comments,
Cercopithecidae,Cercopithecus,Syke_s_Monkey,Cercopithecus_albogularis,NA,Folivore-frugivore,518,43-59,22-34,may-13,NI,01-jun,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,
Cercopithecidae,Cercopithecus,Syke_s_Monkey,Cercopithecus_albogularis,NA,Frugivore,518,84-91,1.6-3,0.6-2.1,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,
Cercopithecidae,Cercopithecus,Red_tailed_Monkey,Cercopithecus_ascanius,Cercopithecus_ascanius,Frugivore,533,61.3,6.8,NI,0.4,25.1,2.8,NI,3.6,NI,Kenya,Feeding records (%),11,1,NI,NI,
Cercopithecidae,Cercopithecus,Campbell_s_Monkey,Cercopithecus_campbelli,Cercopithecus_campbelli,Frugivore,1154,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,"Fruit is the main constituent of the diets and they also eat leaves, flowers, insects, and other small mamals.",
Cercopithecidae,Cercopithecus,Campbell_s_Monkey,Cercopithecus_campbelli,Cercopithecus_campbelli,Omnivore,564,46,8,1,NI,33,NI,NI,12,Taï Forest,Côte d’Ivoire,Feeding records (%),14,2,NI,NI,
Cercopithecidae,Cercopithecus,Moustached_Monkey,Cercopithecus_cephus,Cercopithecus_cephus,Frugivore,246,80,NI,NI,NI,13,NI,NI,7,NI,NI,NI,NI,NI,38,NI,
Cercopithecidae,Cercopithecus,Dent_s_Monkey,Cercopithecus_denti,Cercopithecus_denti,Omnivore,538,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,
Cercopithecidae,Cercopithecus,Diana_Monkey,Cercopithecus_diana,Cercopithecus_diana,Frugivore,564,59,16,3,NI,16,NI,NI,6,Taï Forest,Côte d’Ivoire,Feeding records (%),14,2,NI,NI,
Cercopithecidae,Cercopithecus,Silver_Monkey,Cercopithecus_doggetti,NA,Omnivore,543,50,9,4,9,25,NI,NI,3,NI,NI,NI,NI,NI,NI,NI,
Cercopithecidae,Cercopithecus,Dryas_Monkey,Cercopithecus_dryas,Cercopithecus_dryas,Frugivore,1154,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,"Mainly on fruits, supplemented with young leaves and shoots from plants.",
Cercopithecidae,Cercopithecus,Red_bellied_Monkey,Cercopithecus_erythrogaster,Cercopithecus_erythrogaster,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Cercopithecidae,Cercopithecus,Red_eared_Monkey,Cercopithecus_erythrotis,Cercopithecus_erythrotis,Frugivore,549,85,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,
Cercopithecidae,Cercopithecus,Owl_faced_Monkey,Cercopithecus_hamlyni,Cercopithecus_hamlyni,Omnivore,552,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,
Cercopithecidae,Cercopithecus,Virungas_Golden_Monkey,Cercopithecus_kandti,NA,Folivore,553,1.98,66.67,0.99,NI,2.45,NI,NI,27.91,NI,NI,NI,NI,NI,NI,NI,
Cercopithecidae,Cercopithecus,Lesula,Cercopithecus_lomamiensis,Cercopithecus_lomamiensis,Folivore_frugivore,519,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,"Eats leaf petioles, ripe and unripe fruits, flower buds, and meristems of two species of terrestrial herbaceous Marantaceae.",
Cercopithecidae,Cercopithecus,Lowe_s_Monkey,Cercopithecus_lowei,Cercopithecus_lowei,Frugivore,1154,24-26,NI,NI,NI,56-63,NI,NI,NI,NI,NI,NI,NI,NI,NI,"Mainly fruit and they also eat leaves, seeds, flowers, bark and insects. In one area, arthropod dominated the diet, 56-63% with cultivated fruits making up 24-26%.",
