"Ref	Cite_in	DOI	Classe	Sous classe	Super ordre	Ordre	Sous ordre	Famille	Genus	Species	Functional_group	Diet_type	Diet_type_ajout	Ref_ajout_diet	C_mean	C_sd	N_mean	N_sd	P_mean	P_sd	P_MinMax	C/N_mean	C/N_sd	C/P_mean	C/P_sd	N/P	DryMass (g)	DryMass_sd (g)	DryMass_ajout	DryMass_sd_ajout	Ref_ajout_DryMass	WetMass (g)	WetMass_ajout	Ref_ajout_WetMass	Body_length(m)	Body_length_sd(m)	C_mean_sample_size	N_mean_sample-size	P_mean_sample_size	Mass_sample_size	Age_Stage(???)	Biome	Biome ajout	Ref biome ajout	Stoichio data source	Body_mass data source	Observation	Agent	Organism_source	Stoichio_analysis	Nitrogen_calc_from_prot	Ratio_method";
"Johanson_et_al_2004	Zhang_2017	10.3389/fmicb.2017.01281	Agaricomycetes			Russulales		Russulaceae	Lactarius	scrobiculatus	Microbe				45.56		3.36					15.84																									JS	BA				molar";
"Taylor_et_al_2003	Zhang_2017	10.3389/fmicb.2017.01281	Agaricomycetes			Russulales		Russulaceae	Lactarius	scrobiculatus	Microbe				45.1		3.3					15.94																									JS	BA				molar";
"Lavola_et_al_2011	Zhang_2017	10.3389/fmicb.2017.01281	Agaricomycetes			Russulales		Russulaceae	Lactarius	theiogalus	Microbe								0.71																												JS	BA				molar";
"Taylor_et_al_2003	Zhang_2017	10.3389/fmicb.2017.01281	Agaricomycetes			Russulales		Russulaceae	Lactarius	theiogalus	Microbe				44.4		4.8					10.79																									JS	BA				molar";
"Taylor_et_al_2003	Zhang_2017	10.3389/fmicb.2017.01281	Agaricomycetes			Russulales		Russulaceae	Lactarius	torminosus	Microbe				44.2		3.8					13.57																									JS	BA				molar";
"Johanson_et_al_2004	Zhang_2017	10.3389/fmicb.2017.01281	Agaricomycetes			Russulales		Russulaceae	Lactarius	trivialis	Microbe				45.71		2.96					18.02																									JS	BA				molar";
"Lavola_et_al_2011	Zhang_2017	10.3389/fmicb.2017.01281	Agaricomycetes			Russulales		Russulaceae	Lactarius	trivialis	Microbe								0.41																												JS	BA				molar";
"Nikkarinen_&_Mertanen_2004	Zhang_2017	10.3389/fmicb.2017.01281	Agaricomycetes			Russulales		Russulaceae	Lactarius	trivialis	Microbe				46.12		3.88		0.44			13.87		269.98		19.47																					JS	BA				molar";
"Nikkarinen_&_Mertanen_2004	Zhang_2017	10.3389/fmicb.2017.01281	Agaricomycetes			Russulales		Russulaceae	Lactarius	trivialis	Microbe				45.9		3.7		0.41			14.47		289.77		20.02																					JS	BA				molar";
"Taylor_et_al_2003	Zhang_2017	10.3389/fmicb.2017.01281	Agaricomycetes			Russulales		Russulaceae	Lactarius	trivialis	Microbe				45.4		3.9					13.58																									JS	BA				molar";
"Taylor_et_al_2003	Zhang_2017	10.3389/fmicb.2017.01281	Agaricomycetes			Russulales		Russulaceae	Lactarius	uvidus	Microbe				45.2		4.1					12.86																									JS	BA				molar";
