Visibility,Source ID,Locality ID,Traits ID,Genus,Species,Morphospecies,Contributor,Latitude,Longitude,Caste,N,Head width across eyes (mm),Head length (mm),Clypeus length (mm),Mandible length (mm),Hind femur length (mm),Scape length (mm),Weber's length (mm),Pronotum width (mm),Inter-ocular width (mm),Max eye width (mm),Whole body length (mm),Sculpturing,Pilosity (#),Number of Spines (#),Dominant colour head (Fig. 16),Dominant colour mesosoma (Fig. 16),Dominant colour gaster (Fig. 16),Polymorphism,Queen number,Worker number (#),Colony type,Colony founding,Nest Site,Activity,Diet,Notes
Public,Gibb_2011,,Gibb_2011_traits_32,Camponotus,herculeanus,False,"Gibb, Heloise",64.1479,20.0792,Worker,1,1.911111111,1.911111111,Not in paper,Not in paper,2.177777778,1.911111111,2.666666667,1.555555556,Not in paper,0.311111111,15.71,1,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Polymorphic (3),Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Gibb_2011,,Gibb_2011_traits_33,Camponotus,herculeanus,False,"Gibb, Heloise",64.1479,20.0792,Worker,1,1.422222222,1.555555556,Not in paper,Not in paper,2,1.422222222,2.266666667,1.155555556,Not in paper,0.266666667,12.7,1,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Polymorphic (3),Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Gibb_2011,,Gibb_2011_traits_34,Camponotus,herculeanus,False,"Gibb, Heloise",64.1479,20.0792,Worker,1,1.6,1.733333333,Not in paper,Not in paper,2.088888889,1.555555556,2.311111111,1.333333333,Not in paper,0.266666667,13.49,1,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Polymorphic (3),Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Gibb_2011,,Gibb_2011_traits_35,Camponotus,herculeanus,False,"Gibb, Heloise",64.1479,20.0792,Worker,1,2.222222222,2.488888889,Not in paper,Not in paper,2.133333333,2,3.066666667,1.777777778,Not in paper,0.311111111,16.83,1,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Polymorphic (3),Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Gibb_2011,,Gibb_2011_traits_36,Camponotus,herculeanus,False,"Gibb, Heloise",64.1479,20.0792,Worker,1,1.911111111,1.866666667,Not in paper,Not in paper,2.311111111,1.777777778,2.888888889,1.422222222,Not in paper,0.311111111,15.4,1,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Polymorphic (3),Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Gibb_2011,,Gibb_2011_traits_37,Camponotus,herculeanus,False,"Gibb, Heloise",64.1604,20.0458,Worker,1,1.866666667,2.044444444,Not in paper,Not in paper,2.488888889,1.688888889,2.533333333,1.511111111,Not in paper,0.266666667,14.13,1,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Polymorphic (3),Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Gibb_2011,,Gibb_2011_traits_38,Camponotus,herculeanus,False,"Gibb, Heloise",64.1604,20.0458,Worker,1,1.733333333,1.866666667,Not in paper,Not in paper,2.044444444,1.777777778,2.622222222,1.333333333,Not in paper,0.266666667,13.65,1,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Polymorphic (3),Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Gibb_2011,,Gibb_2011_traits_39,Camponotus,herculeanus,False,"Gibb, Heloise",64.1729,20.0542,Worker,1,1.511111111,1.822222222,Not in paper,Not in paper,2.044444444,1.777777778,2.488888889,1.288888889,Not in paper,0.266666667,13.17,1,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Polymorphic (3),Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Gibb_2011,,Gibb_2011_traits_40,Camponotus,herculeanus,False,"Gibb, Heloise",64.1729,20.0542,Worker,1,1.422222222,1.644444444,Not in paper,Not in paper,1.911111111,1.688888889,2.222222222,1.155555556,Not in paper,0.266666667,12.38,1,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Polymorphic (3),Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Gibb_2011,,Gibb_2011_traits_41,Camponotus,herculeanus,False,"Gibb, Heloise",64.2771,19.7958,Worker,1,1.377777778,1.6,Not in paper,Not in paper,1.822222222,1.555555556,2.088888889,1.066666667,Not in paper,0.222222222,12.22,1,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Polymorphic (3),Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Gibb_2011,,Gibb_2011_traits_42,Camponotus,herculeanus,False,"Gibb, Heloise",64.2771,19.7958,Worker,1,1.422222222,1.866666667,Not in paper,Not in paper,2.222222222,1.822222222,2.488888889,1.511111111,Not in paper,0.222222222,15.08,1,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Polymorphic (3),Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Gibb_2011,,Gibb_2011_traits_43,Camponotus,herculeanus,False,"Gibb, Heloise",64.2771,19.7958,Worker,1,1.422222222,1.555555556,Not in paper,Not in paper,2.044444444,1.733333333,2.222222222,1.066666667,Not in paper,0.222222222,11.27,1,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Polymorphic (3),Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Gibb_2011,,Gibb_2011_traits_44,Camponotus,herculeanus,False,"Gibb, Heloise",64.2771,19.7958,Worker,1,1.6,1.866666667,Not in paper,Not in paper,2.177777778,1.777777778,2.488888889,1.377777778,Not in paper,0.266666667,12.38,1,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Polymorphic (3),Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Gibb_2011,,Gibb_2011_traits_45,Camponotus,herculeanus,False,"Gibb, Heloise",64.2771,19.7958,Worker,1,1.644444444,1.822222222,Not in paper,Not in paper,2.222222222,1.733333333,2.4,1.288888889,Not in paper,0.266666667,13.49,1,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Polymorphic (3),Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Gibb_2011,,Gibb_2011_traits_46,Camponotus,herculeanus,False,"Gibb, Heloise",64.2771,19.7958,Worker,1,1.911111111,1.911111111,Not in paper,Not in paper,2.311111111,1.866666667,2.622222222,1.422222222,Not in paper,0.266666667,14.6,1,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Polymorphic (3),Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Gibb_2011,,Gibb_2011_traits_47,Camponotus,herculeanus,False,"Gibb, Heloise",64.2771,19.7958,Worker,1,1.866666667,1.955555556,Not in paper,Not in paper,2.266666667,1.777777778,2.666666667,1.333333333,Not in paper,0.311111111,14.29,1,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Polymorphic (3),Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Gibb_2011,,Gibb_2011_traits_48,Camponotus,herculeanus,False,"Gibb, Heloise",64.2771,19.7958,Worker,1,1.511111111,1.644444444,Not in paper,Not in paper,2,1.688888889,2.444444444,1.244444444,Not in paper,0.222222222,12.06,1,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Polymorphic (3),Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Gibb_2011,,Gibb_2011_traits_49,Camponotus,herculeanus,False,"Gibb, Heloise",64.2771,19.7958,Worker,1,2,2.222222222,Not in paper,Not in paper,2.4,1.866666667,2.711111111,1.511111111,Not in paper,0.266666667,15.71,1,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Polymorphic (3),Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Gibb_2011,,Gibb_2011_traits_50,Camponotus,herculeanus,False,"Gibb, Heloise",64.2771,19.7958,Worker,1,1.333333333,1.555555556,Not in paper,Not in paper,1.955555556,1.6,2.266666667,1.111111111,Not in paper,0.222222222,11.9,1,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Polymorphic (3),Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Gibb_2011,,Gibb_2011_traits_51,Camponotus,herculeanus,False,"Gibb, Heloise",64.2854,19.8708,Worker,1,1.466666667,1.6,Not in paper,Not in paper,1.866666667,1.6,2.266666667,1.155555556,Not in paper,0.266666667,12.22,1,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Polymorphic (3),Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Gibb_2011,,Gibb_2011_traits_52,Formica,lemani,False,"Gibb, Heloise",64.1729,20.0542,Worker,1,0.432,0.496,Not in paper,Not in paper,0.672,0.544,0.72,0.32,Not in paper,0.112,2.15,1,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Monomorphic (1),Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Gibb_2011,,Gibb_2011_traits_53,Formica,lemani,False,"Gibb, Heloise",64.2563,20.0542,Worker,1,0.464,0.512,Not in paper,Not in paper,0.656,0.56,0.72,0.352,Not in paper,0.096,2.33,1,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Polymorphic (3),Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Gibb_2011,,Gibb_2011_traits_54,Formica,lemani,False,"Gibb, Heloise",64.2563,20.0542,Worker,1,0.512,0.64,Not in paper,Not in paper,0.752,0.704,0.8,0.384,Not in paper,0.112,2.33,1,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Polymorphic (3),Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Gibb_2011,,Gibb_2011_traits_55,Formica,lemani,False,"Gibb, Heloise",64.2813,20.0542,Worker,1,0.464,0.56,Not in paper,Not in paper,0.672,0.576,0.752,0.368,Not in paper,0.096,2.63,1,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Monomorphic (1),Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Gibb_2011,,Gibb_2011_traits_56,Formica,lemani,False,"Gibb, Heloise",64.2813,20.0542,Worker,1,0.496,0.592,Not in paper,Not in paper,0.72,0.592,0.768,0.368,Not in paper,0.112,2.63,1,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Monomorphic (1),Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Gibb_2011,,Gibb_2011_traits_57,Formica,lemani,False,"Gibb, Heloise",64.2813,20.0542,Worker,1,0.464,0.544,Not in paper,Not in paper,0.64,0.592,0.704,0.352,Not in paper,0.112,2.3,1,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Monomorphic (1),Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Gibb_2011,,Gibb_2011_traits_58,Formica,lemani,False,"Gibb, Heloise",64.2813,20.0542,Worker,1,0.512,0.56,Not in paper,Not in paper,0.72,0.64,0.816,0.4,Not in paper,0.128,2.63,1,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Monomorphic (1),Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Gibb_2011,,Gibb_2011_traits_59,Formica,lemani,False,"Gibb, Heloise",64.2813,20.0542,Worker,1,0.464,0.56,Not in paper,Not in paper,0.672,0.56,0.752,0.368,Not in paper,0.128,2.55,1,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Monomorphic (1),Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Gibb_2011,,Gibb_2011_traits_60,Formica,lemani,False,"Gibb, Heloise",64.2813,20.0542,Worker,1,0.416,0.528,Not in paper,Not in paper,0.656,0.528,0.704,0.352,Not in paper,0.112,2.3,1,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Monomorphic (1),Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Gibb_2011,,Gibb_2011_traits_61,Formica,lemani,False,"Gibb, Heloise",64.2813,20.0542,Worker,1,0.4,0.512,Not in paper,Not in paper,0.608,0.512,0.672,0.32,Not in paper,0.112,2.23,1,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Monomorphic (1),Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Gibb_2011,,Gibb_2011_traits_62,Formica,lemani,False,"Gibb, Heloise",64.2813,20.0542,Worker,1,0.448,0.528,Not in paper,Not in paper,0.64,0.56,0.72,0.336,Not in paper,0.112,2.4,1,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Monomorphic (1),Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Gibb_2011,,Gibb_2011_traits_63,Formica,lemani,False,"Gibb, Heloise",64.2813,20.0542,Worker,1,0.4,0.48,Not in paper,Not in paper,0.64,0.512,0.656,0.304,Not in paper,0.112,2.18,1,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Monomorphic (1),Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Gibb_2011,,Gibb_2011_traits_64,Formica,lemani,False,"Gibb, Heloise",64.2813,20.0542,Worker,1,0.448,0.544,Not in paper,Not in paper,0.672,0.496,0.72,0.32,Not in paper,0.112,2.2,1,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Monomorphic (1),Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Gibb_2011,,Gibb_2011_traits_65,Formica,lemani,False,"Gibb, Heloise",64.2813,20.0542,Worker,1,0.512,0.528,Not in paper,Not in paper,0.672,0.592,0.784,0.384,Not in paper,0.128,2.35,1,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Monomorphic (1),Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Gibb_2011,,Gibb_2011_traits_66,Formica,lemani,False,"Gibb, Heloise",64.2813,20.0542,Worker,1,0.624,0.72,Not in paper,Not in paper,0.864,0.688,0.944,0.448,Not in paper,0.144,3.24,1,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Monomorphic (1),Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Gibb_2011,,Gibb_2011_traits_67,Formica,lemani,False,"Gibb, Heloise",64.2813,20.0542,Worker,1,0.464,0.56,Not in paper,Not in paper,0.64,0.56,0.752,0.352,Not in paper,0.112,2.45,1,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Monomorphic (1),Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Gibb_2011,,Gibb_2011_traits_68,Formica,lemani,False,"Gibb, Heloise",64.2813,20.0542,Worker,1,0.512,0.576,Not in paper,Not in paper,0.72,0.576,0.784,0.368,Not in paper,0.096,2.53,1,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Monomorphic (1),Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Gibb_2011,,Gibb_2011_traits_69,Formica,lemani,False,"Gibb, Heloise",64.2813,20.0542,Worker,1,0.472,0.544,Not in paper,Not in paper,0.656,0.528,0.768,0.352,Not in paper,0.128,2.35,1,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Monomorphic (1),Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Gibb_2011,,Gibb_2011_traits_70,Formica,lemani,False,"Gibb, Heloise",64.2813,20.0542,Worker,1,0.472,0.544,Not in paper,Not in paper,0.672,0.544,0.752,0.352,Not in paper,0.112,2.35,1,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Monomorphic (1),Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Gibb_2011,,Gibb_2011_traits_71,Formica,lemani,False,"Gibb, Heloise",64.2854,19.8708,Worker,1,0.48,0.56,Not in paper,Not in paper,0.688,0.544,0.768,0.352,Not in paper,0.128,2.53,1,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Polymorphic (3),Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Gibb_2011,,Gibb_2011_traits_72,Myrmica,lobicornis,False,"Gibb, Heloise",64.3479,20.6792,Worker,1,0.48,0.48,Not in paper,Not in paper,0.48,0.4,0.576,0.32,Not in paper,0.064,2.03,3,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Monomorphic (1),Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Gibb_2011,,Gibb_2011_traits_73,Myrmica,lobicornis,False,"Gibb, Heloise",64.3479,20.6792,Worker,1,0.48,0.496,Not in paper,Not in paper,0.528,0.4,0.56,0.32,Not in paper,0.08,2.2,3,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Monomorphic (1),Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Gibb_2011,,Gibb_2011_traits_74,Myrmica,lobicornis,False,"Gibb, Heloise",64.3479,20.6792,Worker,1,0.512,0.512,Not in paper,Not in paper,0.544,0.416,0.624,0.352,Not in paper,0.064,2.13,3,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Monomorphic (1),Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Gibb_2011,,Gibb_2011_traits_75,Myrmica,lobicornis,False,"Gibb, Heloise",64.3479,20.6792,Worker,1,0.496,0.512,Not in paper,Not in paper,0.544,0.416,0.576,0.352,Not in paper,0.08,2,3,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Monomorphic (1),Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Gibb_2011,,Gibb_2011_traits_76,Myrmica,lobicornis,False,"Gibb, Heloise",64.3479,20.6792,Worker,1,0.496,0.48,Not in paper,Not in paper,0.528,0.416,0.592,0.32,Not in paper,0.08,2.05,3,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Monomorphic (1),Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Gibb_2011,,Gibb_2011_traits_77,Myrmica,lobicornis,False,"Gibb, Heloise",64.3479,20.6792,Worker,1,0.528,0.512,Not in paper,Not in paper,0.528,0.416,0.576,0.336,Not in paper,0.08,2.2,3,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Monomorphic (1),Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Gibb_2011,,Gibb_2011_traits_78,Myrmica,lobicornis,False,"Gibb, Heloise",64.3479,20.6792,Worker,1,0.496,0.464,Not in paper,Not in paper,0.496,0.4,0.608,0.336,Not in paper,0.064,2.1,3,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Monomorphic (1),Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Gibb_2011,,Gibb_2011_traits_79,Myrmica,lobicornis,False,"Gibb, Heloise",64.3479,20.6792,Worker,1,0.48,0.496,Not in paper,Not in paper,0.496,0.416,0.592,0.336,Not in paper,0.064,2.13,3,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Monomorphic (1),Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Gibb_2011,,Gibb_2011_traits_80,Myrmica,lobicornis,False,"Gibb, Heloise",64.3479,20.6792,Worker,1,0.48,0.464,Not in paper,Not in paper,0.496,0.416,0.624,0.32,Not in paper,0.064,2.15,3,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Monomorphic (1),Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
